xp,yp,hp,v,theta,psi,phi,tp
15000.0,0.0,2000.0,340.0,0.0,3.141592653589793,0.0,0.0
14638.239856512326,-13.458743410039393,2014.7855599131653,350.92077551613176,0.0803154145981241,3.2149244971834805,0.5860805873631305,1.050329539833745
14271.687030223295,-56.780629241969564,2066.99866852552,360.8239851569173,0.19881506180456765,3.30305438959683,0.3734658814330128,2.10065907966749
13901.118795110282,-119.98951329219753,2144.607220501033,370.0754280618844,0.20822533542053648,3.3178524384164914,0.04996767902831861,3.150988619501236
13521.136247016992,-187.668200189024,2221.7076199515186,379.3898237999624,0.18636655574723754,3.3178524384164914,0.0,4.20131815933498
13131.975745235564,-256.98062064747035,2302.0512884350533,388.67325195628865,0.21434858490692266,3.3178524384164914,0.0,5.251647699168726
12736.68674860304,-327.3835616987235,2398.4482453959713,397.60431490567026,0.256443195924418,3.3178524384164914,0.0,6.301977239002471
12334.230222748409,-399.06364101604765,2504.2251118457775,406.35667584765974,0.2500344446683432,3.3178524384164914,0.0,7.3523067788362155
11921.40536685918,-472.59116538718376,2605.8247488806487,415.26329032427407,0.22565873324464497,3.3178524384164914,0.0,8.40263631866996
11497.159136301549,-548.1529335035555,2699.2666243416916,424.412699607857,0.20167417535685245,3.3178524384164914,0.0,9.452965858503706
11061.431885534745,-625.7595683708381,2784.2717074390134,433.8021618787848,0.1780931110946297,3.3178524384164914,0.0,10.503295398337452
10614.171408657448,-705.4203679284758,2860.5643182522253,443.42862650989514,0.1549257348257119,3.3178524384164914,0.0,11.553624938171197
10155.332659043886,-787.1433549869803,2927.8724656841773,453.2887674494321,0.1321802054792578,3.3178524384164914,0.0,12.603954478004942
9684.877454435957,-870.9353297554752,2985.92814707755,463.3790160123229,0.10986276721051744,3.3178524384164914,0.0,13.654284017838686
9202.604488939589,-956.8321083929555,3032.657044457301,473.73312085116913,0.08066780744416524,3.3178524384164914,0.0,14.704613557672431
8708.363593235497,-1044.8604132336006,3065.901517571825,484.38481425655385,0.05190227934442512,3.3178524384164914,0.0,15.754943097506176
8202.300835517,-1134.9942648234933,3087.130528782895,495.29256243892866,0.030883950385559612,3.3178524384164914,-0.5091062057754537,16.80527263733992
7683.387640677119,-1220.2756921150544,3098.0973388140073,506.41073189326727,0.01103559746252293,3.2914120922965973,-1.54337718146778,17.85560217717367
7148.706091707286,-1269.1695794348389,3099.424991756869,517.7184402654839,-0.005911342135198817,3.175440072160929,-1.54337718146778,18.905931717007412
6599.56567324998,-1262.9068161716318,3091.3875516061207,529.2022003600725,-0.02313920835952395,3.0859083981451128,-0.4930476416340348,19.95626125684116
6039.380036736711,-1227.381532376723,3066.0435022917445,540.9984726139888,-0.06662062897825247,3.0707646863510907,0.5572818981997109,21.006590796674903
5469.985219049298,-1175.4233933564542,3011.5605492664017,553.3061784018163,-0.12271643816566588,3.0307649570766424,1.0824466681165834,22.056920336508647
4893.932380252611,-1096.7792243580307,2926.616181398496,566.1265050264645,-0.16684632607974093,2.9814589660304014,1.0824466681165834,23.107249876342394
4313.439026818571,-989.2922921148067,2812.5617513398693,579.4112806142691,-0.21419430819942167,2.9358644965953626,0.8858845756845778,24.157579416176137
3728.178118816051,-860.6384532188914,2671.37112143161,593.1059710797806,-0.24817945611169231,2.9147200007261396,0.3446612416262861,25.20790895600988
3134.1727153994234,-723.5141334564848,2511.4266213110504,607.0538592824269,-0.26479046003683443,2.9147200007261396,0.0,26.258238495843628
2528.9729867877613,-583.8056377576477,2337.544704736865,621.1646957411758,-0.2809500492950378,2.9147200007261396,0.0,27.30856803567737
1912.6294113001104,-441.5246189296836,2149.5400875406303,635.4333461384107,-0.2966722074549915,2.9147200007261396,0.0,28.358897575511115
1285.193894985041,-296.68305936524075,1947.233329112274,649.8548331169063,-0.3119707188495812,2.9147200007261396,0.0,29.40922711534486
646.7195783386047,-149.29322642375723,1730.4506505929128,664.4243364391394,-0.32685912714355364,2.9147200007261396,0.0,30.459556655178602
0.0,0.0,1500.0,673.4704304412654,-0.3414106951578101,2.9147200007261396,0.0,31.509886195012346
