Nx,Nh,N_phi,t_total
1.1000000000000085,0.0,1.0,31.509886195012356
1.1,9.0,0.1159960974187071,31.509886195012356
1.1,2.7854442730445266,-0.5208518047814937,31.509886195012356
1.1,0.0,-0.09514429263721325,31.509886195012356
1.1,0.3758723687728316,0.0,31.509886195012356
1.1,3.709131043153178,0.0,31.509886195012356
1.1,1.4207457208189949,0.0,31.509886195012356
1.1,0.0,0.0,31.509886195012356
1.1,0.0,0.0,31.509886195012356
1.1,0.0,0.0,31.509886195012356
1.1,0.0,0.0,31.509886195012356
1.1,0.0,0.0,31.509886195012356
1.1,0.0,0.0,31.509886195012356
1.1,0.0,0.0,31.509886195012356
1.1,-0.6716493435177604,0.0,31.509886195012356
1.1,0.0,0.0,31.509886195012356
1.1,0.0,-0.969422398165843,31.509886195012356
1.1,2.5996836897564783,-1.0,31.509886195012356
1.1,9.0,1.0,31.509886195012356
1.1,0.0,1.0,31.509886195012356
1.1,-3.0,1.0,31.509886195012356
1.1,-3.0,0.0,31.509886195012356
1.1,-3.0,0.0,31.509886195012356
1.1,-3.0,-0.3742836002505703,31.509886195012356
1.1,0.0,-0.6562940015835876,31.509886195012356
1.1,0.0,0.0,31.509886195012356
1.1,0.0,0.0,31.509886195012356
1.1,0.0,0.0,31.509886195012356
1.1,0.0,0.0,31.509886195012356
1.1,0.0,0.0,31.509886195012356
0.0,0.0,0.0,31.509886195012356
